"","Q","Other","Self","Percentile","Subject"
"X1",1,0.5,1,0.56,1
"X2",2,1,1,0.56,1
"X3",3,0,0,0.56,1
"X4",4,1,1,0.56,1
"X5",5,1,1,0.56,1
"X6",6,1,1,0.56,1
"X7",7,1,1,0.56,1
"X8",8,1,0.5,0.56,1
"X9",9,0.5,0.5,0.56,1
"X10",10,1,1,0.56,1
"X11",11,1,1,0.56,1
"X12",12,1,1,0.56,1
"X13",13,1,0,0.56,1
"X14",14,0,1,0.56,1
"X15",15,1,1,0.56,1
"X16",16,1,1,0.56,1
"X1.1",1,0.7,1,0.25,2
"X2.1",2,0.8,1,0.25,2
"X3.1",3,0.5,0.5,0.25,2
"X4.1",4,0.5,0.7,0.25,2
"X5.1",5,0.5,0.5,0.25,2
"X6.1",6,0.5,0.6,0.25,2
"X7.1",7,1,1,0.25,2
"X8.1",8,0.4,0.5,0.25,2
"X9.1",9,0.5,0.5,0.25,2
"X10.1",10,0.5,0.6,0.25,2
"X11.1",11,0.25,0.4,0.25,2
"X12.1",12,1,1,0.25,2
"X13.1",13,1,1,0.25,2
"X14.1",14,1,1,0.25,2
"X15.1",15,1,1,0.25,2
"X16.1",16,1,1,0.25,2
"X1.2",1,0.6,0.99,0.9,3
"X2.2",2,0.1,0,0.9,3
"X3.2",3,0.8,0.9,0.9,3
"X4.2",4,0.35,0.55,0.9,3
"X5.2",5,0.35,0.75,0.9,3
"X6.2",6,0.2,0.25,0.9,3
"X7.2",7,0.5,0.75,0.9,3
"X8.2",8,0.5,1,0.9,3
"X9.2",9,0.35,0.6,0.9,3
"X10.2",10,0.3,0.95,0.9,3
"X11.2",11,0.4,0.4,0.9,3
"X12.2",12,0.4,0.5,0.9,3
"X13.2",13,0.4,1,0.9,3
"X14.2",14,0.85,1,0.9,3
"X15.2",15,0.7,0.9,0.9,3
"X16.2",16,0.5,1,0.9,3
"X1.3",1,0.5,0.5,1,4
"X2.3",2,0.5,0.5,1,4
"X3.3",3,0.5,0.5,1,4
"X4.3",4,0.5,0.5,1,4
"X5.3",5,1,1,1,4
"X6.3",6,0.25,0.25,1,4
"X7.3",7,0.25,0.25,1,4
"X8.3",8,0.25,1,1,4
"X9.3",9,0.25,1,1,4
"X10.3",10,0.25,0.25,1,4
"X11.3",11,0.25,0.25,1,4
"X12.3",12,0.25,1,1,4
"X13.3",13,0.25,1,1,4
"X14.3",14,0.25,1,1,4
"X15.3",15,0.25,1,1,4
"X16.3",16,0.25,0.25,1,4
"X1.4",1,0.55,0.5,0.8,5
"X2.4",2,0.95,1,0.8,5
"X3.4",3,0.85,0.85,0.8,5
"X4.4",4,0.4,0.5,0.8,5
"X5.4",5,0.6,0.7,0.8,5
"X6.4",6,0.85,0.85,0.8,5
"X7.4",7,1,1,0.8,5
"X8.4",8,0.8,0.9,0.8,5
"X9.4",9,0.6,0.9,0.8,5
"X10.4",10,0.5,0.5,0.8,5
"X11.4",11,0.5,0.99,0.8,5
