"","Q","Other","Self","Percentile","Subject"
"X5.55",5,0.5,0.6,0.9,56
"X6.55",6,0.34,0.4,0.9,56
"X7.55",7,0.8,0.8,0.9,56
"X8.55",8,0.5,0.7,0.9,56
"X9.55",9,0.6,0.7,0.9,56
"X10.55",10,0.25,0.25,0.9,56
"X11.55",11,0.7,1,0.9,56
"X12.55",12,0.34,0.34,0.9,56
"X1.56",1,0.65,0.9,0.85,57
"X2.56",2,0.78,1,0.85,57
"X3.56",3,0.76,1,0.85,57
"X4.56",4,0.69,0.96,0.85,57
"X5.56",5,0.55,0.97,0.85,57
"X6.56",6,0.67,0.9,0.85,57
"X7.56",7,0.39,0.65,0.85,57
"X8.56",8,0.52,0.75,0.85,57
"X9.56",9,0.75,1,0.85,57
"X10.56",10,0.75,1,0.85,57
"X11.56",11,0.8,1,0.85,57
"X12.56",12,0.3,0.5,0.85,57
"X1.57",1,0.8,1,0.5,58
"X2.57",2,1,1,0.5,58
"X3.57",3,0,0,0.5,58
"X4.57",4,1,0.9,0.5,58
"X5.57",5,0.8,1,0.5,58
"X6.57",6,1,1,0.5,58
"X7.57",7,0.5,0.6,0.5,58
"X8.57",8,0.25,0.7,0.5,58
"X9.57",9,0.7,0.7,0.5,58
"X10.57",10,1,1,0.5,58
"X11.57",11,0.5,0.8,0.5,58
"X12.57",12,1,1,0.5,58
"X1.58",1,0.95,1,0.95,59
"X2.58",2,0.95,1,0.95,59
"X3.58",3,0.9,1,0.95,59
"X4.58",4,0.8,0.9,0.95,59
"X5.58",5,0.5,0.99,0.95,59
"X6.58",6,0.9,1,0.95,59
"X7.58",7,0.8,0.9,0.95,59
"X8.58",8,0.4,0.9,0.95,59
"X9.58",9,0.75,1,0.95,59
"X10.58",10,0.8,1,0.95,59
"X11.58",11,0.75,0.9,0.95,59
"X12.58",12,0.25,0.25,0.95,59
"X1.59",1,0.7,0.85,0.4,60
"X2.59",2,0.75,0.6,0.4,60
"X3.59",3,0.6,0.5,0.4,60
"X4.59",4,0.7,0.85,0.4,60
"X5.59",5,0.5,0.6,0.4,60
"X6.59",6,0.7,0.7,0.4,60
"X7.59",7,0.5,0.7,0.4,60
"X8.59",8,0.3,0.3,0.4,60
"X9.59",9,0.6,0.7,0.4,60
"X10.59",10,0.4,0.45,0.4,60
"X11.59",11,0.25,0.25,0.4,60
"X12.59",12,0.5,0.4,0.4,60
"X1.60",1,0.97,1,0.65,61
"X2.60",2,0.97,1,0.65,61
"X3.60",3,0.97,1,0.65,61
"X4.60",4,0.4,0.5,0.65,61
"X5.60",5,0.33,0.2,0.65,61
"X6.60",6,0.33,0.4,0.65,61
"X7.60",7,0.7,0.4,0.65,61
"X8.60",8,0.4,0.4,0.65,61
"X9.60",9,0.7,0.6,0.65,61
"X10.60",10,0.4,0.5,0.65,61
"X11.60",11,0.4,0.55,0.65,61
"X12.60",12,0.4,0.4,0.65,61
"X1.61",1,0.96,1,0.6,62
"X2.61",2,0.96,1,0.6,62
"X3.61",3,0.9,1,0.6,62
"X4.61",4,0.8,1,0.6,62
"X5.61",5,0.85,1,0.6,62
"X6.61",6,0.75,1,0.6,62
"X7.61",7,0.6,0.98,0.6,62
"X8.61",8,0.85,1,0.6,62
"X9.61",9,0.7,1,0.6,62
"X10.61",10,0.75,0.98,0.6,62
"X11.61",11,0.5,0.5,0.6,62
"X12.61",12,0.4,0.4,0.6,62
"X1.62",1,0.6,0.25,0.5,63
"X2.62",2,0.5,0.25,0.5,63
"X3.62",3,0.25,0.25,0.5,63
"X4.62",4,0.5,0.7,0.5,63
"X5.62",5,0.5,0.5,0.5,63
"X6.62",6,0.25,0.25,0.5,63
"X7.62",7,0.5,0.7,0.5,63
"X8.62",8,0.6,0.6,0.5,63
"X9.62",9,0.4,0.5,0.5,63
"X10.62",10,0.5,0.7,0.5,63
"X11.62",11,0.3,0.6,0.5,63
"X12.62",12,0.25,0.25,0.5,63
"X1.63",1,0.75,1,0.5,64
"X2.63",2,0.6,1,0.5,64
"X3.63",3,0.3,0.6,0.5,64
"X4.63",4,0.75,0.75,0.5,64
"X5.63",5,0.25,0.25,0.5,64
"X6.63",6,0.25,0.25,0.5,64
"X7.63",7,0.5,0.5,0.5,64
"X8.63",8,0.25,0.25,0.5,64
"X9.63",9,1,1,0.5,64
"X10.63",10,1,1,0.5,64
"X11.63",11,0.75,1,0.5,64
"X12.63",12,0.35,0.35,0.5,64
"X1.64",1,0.85,1,0.75,65
"X2.64",2,1,1,0.75,65
"X3.64",3,0.5,0.75,0.75,65
"X4.64",4,1,1,0.75,65
"X5.64",5,0.75,0.85,0.75,65
"X6.64",6,0.75,0.75,0.75,65
"X7.64",7,1,1,0.75,65
"X8.64",8,0.5,0.5,0.75,65
"X9.64",9,0.75,0.8,0.75,65
"X10.64",10,0.75,0.8,0.75,65
"X11.64",11,0.25,0.25,0.75,65
"X12.64",12,0.5,0.25,0.75,65
"X1.65",1,0.333,0.25,0.25,66
"X2.65",2,0.35,0.25,0.25,66
"X3.65",3,0.25,0.25,0.25,66
"X4.65",4,0.25,0.25,0.25,66
"X5.65",5,0.25,0.25,0.25,66
"X6.65",6,0.29,0.2,0.25,66
"X7.65",7,0.25,0.25,0.25,66
"X8.65",8,0.25,0.25,0.25,66
"X9.65",9,0.25,0.25,0.25,66
"X10.65",10,0.3,0.3,0.25,66
"X11.65",11,0.25,0.25,0.25,66
"X12.65",12,0.25,0.25,0.25,66
"X1.66",1,0.9,1,0.4,67
"X2.66",2,0.9,1,0.4,67
"X3.66",3,0.9,1,0.4,67
"X4.66",4,0.25,1,0.4,67
"X5.66",5,0.25,1,0.4,67
"X6.66",6,0.25,0.25,0.4,67
"X7.66",7,0.25,1,0.4,67
"X8.66",8,0.25,0.25,0.4,67
"X9.66",9,0.25,0.25,0.4,67
"X10.66",10,0.25,0.25,0.4,67
"X11.66",11,0.25,0.25,0.4,67
"X12.66",12,0.25,0.25,0.4,67
"X1.67",1,0.7,1,0.5,68
"X2.67",2,0.5,1,0.5,68
"X3.67",3,0.6,1,0.5,68
"X4.67",4,0.6,0.5,0.5,68
"X5.67",5,0.5,0.7,0.5,68
"X6.67",6,0.6,0.5,0.5,68
"X7.67",7,0.5,1,0.5,68
"X8.67",8,0.5,1,0.5,68
"X9.67",9,0.5,0.7,0.5,68
"X10.67",10,0.5,0.5,0.5,68
"X11.67",11,0.5,0.5,0.5,68
"X12.67",12,0.34,0.34,0.5,68
"X1.68",1,0.5,0.75,0.45,69
"X2.68",2,1,1,0.45,69
"X3.68",3,0.75,1,0.45,69
"X4.68",4,1,1,0.45,69
"X5.68",5,1,1,0.45,69
"X6.68",6,1,1,0.45,69
"X7.68",7,1,1,0.45,69
"X8.68",8,0.5,0.75,0.45,69
"X9.68",9,1,1,0.45,69
"X10.68",10,0.75,0.5,0.45,69
"X11.68",11,0.75,0.8,0.45,69
"X12.68",12,1,1,0.45,69
"X1.69",1,1,1,0.5,70
"X2.69",2,0.5,1,0.5,70
"X3.69",3,0.25,0.25,0.5,70
"X4.69",4,0.25,0.25,0.5,70
"X5.69",5,0.25,0.25,0.5,70
"X6.69",6,1,0.25,0.5,70
"X7.69",7,0.25,0.25,0.5,70
"X8.69",8,0.5,0.25,0.5,70
"X9.69",9,1,1,0.5,70
"X10.69",10,0.25,0.25,0.5,70
"X11.69",11,0.25,0.25,0.5,70
"X12.69",12,0.25,0.25,0.5,70
"X1.70",1,0.99,1,0.5,71
"X2.70",2,1,0,0.5,71
"X3.70",3,1,1,0.5,71
"X4.70",4,0.5,0.5,0.5,71
"X5.70",5,0.8,1,0.5,71
"X6.70",6,0.85,0.95,0.5,71
"X7.70",7,0.95,1,0.5,71
"X8.70",8,0.5,0.5,0.5,71
"X9.70",9,0.85,1,0.5,71
"X10.70",10,0.85,1,0.5,71
"X11.70",11,0.5,0.5,0.5,71
"X12.70",12,0,0,0.5,71
"X1.71",1,0.4,0.25,0.5,72
"X2.71",2,0.4,0.3,0.5,72
"X3.71",3,0.25,0.25,0.5,72
"X4.71",4,0.25,0.25,0.5,72
"X5.71",5,0.25,0.25,0.5,72
"X6.71",6,0.25,0.25,0.5,72
"X7.71",7,0.25,0.25,0.5,72
"X8.71",8,0.25,0.25,0.5,72
"X9.71",9,0.25,0.25,0.5,72
"X10.71",10,0.25,0.25,0.5,72
"X11.71",11,0.25,0.25,0.5,72
"X12.71",12,0.3,0.3,0.5,72
"X1.72",1,0.85,0.25,0.4,73
"X2.72",2,0.05,0,0.4,73
"X3.72",3,0.25,0.25,0.4,73
"X4.72",4,0.6,0.5,0.4,73
"X5.72",5,0.5,0.5,0.4,73
"X6.72",6,0.5,0.5,0.4,73
"X7.72",7,0.25,0.25,0.4,73
"X8.72",8,0.5,0.5,0.4,73
"X9.72",9,0.7,0.6,0.4,73
"X10.72",10,0.25,0.25,0.4,73
"X11.72",11,0.25,0.25,0.4,73
"X12.72",12,0.25,0.25,0.4,73
"X1.73",1,0.97,1,0.6,74
"X2.73",2,0.79,0.97,0.6,74
"X3.73",3,0.95,0.99,0.6,74
"X4.73",4,0.32,0.25,0.6,74
"X5.73",5,0.56,0.76,0.6,74
"X6.73",6,0.47,0.57,0.6,74
"X7.73",7,0.66,0.78,0.6,74
"X8.73",8,0.24,0.25,0.6,74
"X9.73",9,0.48,0.7,0.6,74
"X10.73",10,0.5,0.57,0.6,74
"X11.73",11,0.67,0.86,0.6,74
"X12.73",12,0.31,0.25,0.6,74
"X1.74",1,0.7,0.7,0.4,75
"X2.74",2,0.5,0.8,0.4,75
"X3.74",3,0.45,0.4,0.4,75
"X4.74",4,0.8,0.7,0.4,75
"X5.74",5,0.6,0.6,0.4,75
"X6.74",6,0.6,0.7,0.4,75
"X7.74",7,0.7,0.7,0.4,75
"X8.74",8,0.6,0.7,0.4,75
"X9.74",9,0.5,0.7,0.4,75
"X10.74",10,0.7,0.8,0.4,75
"X11.74",11,0.5,0.6,0.4,75
"X12.74",12,0.7,0.8,0.4,75
"X1.75",1,0.95,1,0.6,76
"X2.75",2,0.85,1,0.6,76
"X3.75",3,0.99,1,0.6,76
"X4.75",4,0.8,1,0.6,76
"X5.75",5,0.93,1,0.6,76
"X6.75",6,0.65,1,0.6,76
"X7.75",7,0.9,1,0.6,76
"X8.75",8,0.5,0.5,0.6,76
"X9.75",9,0.75,0.95,0.6,76
"X10.75",10,0.34,0.34,0.6,76
"X11.75",11,0.4,0.25,0.6,76
"X12.75",12,0.25,0.25,0.6,76
"X1.76",1,0.95,1,0.3,77
"X2.76",2,0.95,0.95,0.3,77
"X3.76",3,0.9,0.8,0.3,77
"X4.76",4,0.9,0.95,0.3,77
"X5.76",5,0.95,1,0.3,77
"X6.76",6,0.25,0.25,0.3,77
"X7.76",7,0.25,0.8,0.3,77
"X8.76",8,0.4,0.7,0.3,77
"X9.76",9,0.4,0.4,0.3,77
"X10.76",10,0.3,1,0.3,77
"X11.76",11,0.3,0.5,0.3,77
"X12.76",12,0.25,0.7,0.3,77
"X1.77",1,1,1,0.4,78
"X2.77",2,1,1,0.4,78
"X3.77",3,0.8,1,0.4,78
"X4.77",4,1,1,0.4,78
"X5.77",5,1,1,0.4,78
"X6.77",6,0.95,0.8,0.4,78
"X7.77",7,1,1,0.4,78
"X8.77",8,0.4,0.6,0.4,78
"X9.77",9,0.4,0.4,0.4,78
"X10.77",10,1,1,0.4,78
"X11.77",11,0.6,0.5,0.4,78
"X12.77",12,0.8,1,0.4,78
"X1.78",1,1,1,0.6,79
"X2.78",2,0.9,1,0.6,79
"X3.78",3,0.9,1,0.6,79
"X4.78",4,0.75,0.5,0.6,79
"X5.78",5,0.8,0.9,0.6,79
"X6.78",6,0.9,1,0.6,79
"X7.78",7,0.8,0.9,0.6,79
"X8.78",8,0.5,0.5,0.6,79
"X9.78",9,0.8,0.9,0.6,79
"X10.78",10,0.5,0.25,0.6,79
"X11.78",11,0.5,0.6,0.6,79
"X12.78",12,0.4,0.5,0.6,79
"X1.79",1,1,1,0.75,80
"X2.79",2,0,0,0.75,80
"X3.79",3,0.95,1,0.75,80
"X4.79",4,1,1,0.75,80
"X5.79",5,1,1,0.75,80
"X6.79",6,1,1,0.75,80
"X7.79",7,0.6,0.9,0.75,80
"X8.79",8,0.25,0.55,0.75,80
"X9.79",9,0.9,1,0.75,80
"X10.79",10,1,1,0.75,80
"X11.79",11,0.5,0.75,0.75,80
"X12.79",12,0.34,0.5,0.75,80
"X1.80",1,0.4,0.55,0.5,81
"X2.80",2,0.6,0.6,0.5,81
"X3.80",3,0.3,0.3,0.5,81
"X4.80",4,0.3,0.3,0.5,81
"X5.80",5,0.6,0.9,0.5,81
"X6.80",6,0.6,0.6,0.5,81
"X7.80",7,0.3,0.3,0.5,81
"X8.80",8,0.4,0.5,0.5,81
"X9.80",9,0.5,0.5,0.5,81
"X10.80",10,0.4,0.35,0.5,81
"X11.80",11,0.4,0.4,0.5,81
"X12.80",12,0.25,0.25,0.5,81
"X1.81",1,0.69,0.9,0.15,82
"X2.81",2,0.2,0.25,0.15,82
"X3.81",3,0.4,0.5,0.15,82
"X4.81",4,0.35,0.3,0.15,82
"X5.81",5,0.3,0.3,0.15,82
"X6.81",6,0.25,0.3,0.15,82
"X7.81",7,0.35,0.3,0.15,82
"X8.81",8,0.25,0.35,0.15,82
"X9.81",9,0.25,0.25,0.15,82
"X10.81",10,0.35,0.35,0.15,82
"X11.81",11,0.25,0.7,0.15,82
"X12.81",12,0.45,0.5,0.15,82
"X1.82",1,0.8,1,0.95,83
"X2.82",2,0.85,1,0.95,83
"X3.82",3,0.8,1,0.95,83
"X4.82",4,0.55,1,0.95,83
"X5.82",5,0.65,1,0.95,83
"X6.82",6,0.4,1,0.95,83
"X7.82",7,0.65,1,0.95,83
"X8.82",8,0.6,1,0.95,83
"X9.82",9,0.9,1,0.95,83
"X10.82",10,0.6,1,0.95,83
"X11.82",11,0.35,0.9,0.95,83
"X12.82",12,0.1,1,0.95,83
"X1.83",1,0.95,0.9,0.75,84
"X2.83",2,0,0,0.75,84
"X3.83",3,0.8,0.9,0.75,84
"X4.83",4,0.8,0.8,0.75,84
"X5.83",5,0.8,0.8,0.75,84
"X6.83",6,0.8,0.8,0.75,84
"X7.83",7,0.7,0.8,0.75,84
"X8.83",8,0.7,0.8,0.75,84
"X9.83",9,0.8,0.6,0.75,84
"X10.83",10,0.8,0.8,0.75,84
"X11.83",11,0.8,0.8,0.75,84
"X12.83",12,0.3,0.3,0.75,84
"X1.84",1,1,1,0.85,85
"X2.84",2,1,1,0.85,85
"X3.84",3,1,1,0.85,85
"X4.84",4,0.7,0.9,0.85,85
"X5.84",5,0.6,1,0.85,85
"X6.84",6,0.6,0.8,0.85,85
"X7.84",7,0.7,1,0.85,85
"X8.84",8,0.5,0.5,0.85,85
"X9.84",9,0.7,1,0.85,85
"X10.84",10,0.9,1,0.85,85
"X11.84",11,0.75,0.8,0.85,85
"X12.84",12,0.35,0.5,0.85,85
"X1.85",1,1,1,0.9,86
"X2.85",2,0.99,1,0.9,86
"X3.85",3,1,1,0.9,86
"X4.85",4,1,1,0.9,86
"X5.85",5,0.5,1,0.9,86
"X6.85",6,0.75,1,0.9,86
"X7.85",7,0.75,1,0.9,86
"X8.85",8,0.9,1,0.9,86
"X9.85",9,0.5,1,0.9,86
"X10.85",10,0.5,0.75,0.9,86
"X11.85",11,0.9,1,0.9,86
"X12.85",12,0.4,0.5,0.9,86
"X1.86",1,0.9,0.9,0.25,87
"X2.86",2,1,1,0.25,87
"X3.86",3,0,0,0.25,87
"X4.86",4,0.5,0.5,0.25,87
"X5.86",5,0.75,0.5,0.25,87
"X6.86",6,0.5,0.5,0.25,87
"X7.86",7,0.5,0.75,0.25,87
"X8.86",8,0.5,0.75,0.25,87
"X9.86",9,0.25,0.75,0.25,87
"X10.86",10,1,1,0.25,87
"X11.86",11,0.75,0.5,0.25,87
"X12.86",12,0.5,0.5,0.25,87
"X1.87",1,0.9,1,0.75,88
"X2.87",2,1,1,0.75,88
"X3.87",3,0.9,1,0.75,88
"X4.87",4,0.5,1,0.75,88
"X5.87",5,1,1,0.75,88
"X6.87",6,0.25,0.34,0.75,88
"X7.87",7,1,1,0.75,88
"X8.87",8,0.5,1,0.75,88
"X9.87",9,0.5,1,0.75,88
"X10.87",10,1,1,0.75,88
"X11.87",11,0.7,1,0.75,88
"X12.87",12,0.34,0.6,0.75,88
"X1.88",1,0.75,0.9,0.8,89
"X2.88",2,0.8,1,0.8,89
"X3.88",3,0.6,0.9,0.8,89
"X4.88",4,0.7,0.8,0.8,89
"X5.88",5,0.6,0.7,0.8,89
"X6.88",6,0.7,0.8,0.8,89
"X7.88",7,0.6,0.8,0.8,89
"X8.88",8,0.6,0.6,0.8,89
"X9.88",9,0.8,0.6,0.8,89
"X10.88",10,0.9,0.8,0.8,89
"X11.88",11,0.6,0.8,0.8,89
"X12.88",12,0.5,0.5,0.8,89
"X1.89",1,0.4,0.8,0.5,90
"X2.89",2,1,1,0.5,90
"X3.89",3,0.8,1,0.5,90
"X4.89",4,0.5,0.5,0.5,90
"X5.89",5,1,1,0.5,90
"X6.89",6,0.6,0.6,0.5,90
"X7.89",7,0.8,0.9,0.5,90
"X8.89",8,0.7,0.7,0.5,90
"X9.89",9,1,1,0.5,90
"X10.89",10,0.5,0.4,0.5,90
"X11.89",11,0.25,0.25,0.5,90
"X12.89",12,0.25,0.25,0.5,90
"X1.90",1,0.9,0.9,0.7,91
"X2.90",2,0.7,0.7,0.7,91
"X3.90",3,0.9,0.9,0.7,91
"X4.90",4,0.7,0.5,0.7,91
"X5.90",5,0.8,0.5,0.7,91
"X6.90",6,0.5,0.5,0.7,91
"X7.90",7,0.5,0.5,0.7,91
"X8.90",8,0.5,0.5,0.7,91
"X9.90",9,0.7,0.7,0.7,91
"X10.90",10,0.4,0.4,0.7,91
"X11.90",11,0.4,0.4,0.7,91
"X12.90",12,0.25,0.25,0.7,91
