"","Q","Other","Self","Percentile","Subject"
"X4.11",4,0.4,0.4,0.2,12
"X5.11",5,1,1,0.2,12
"X6.11",6,1,1,0.2,12
"X7.11",7,0.7,0.6,0.2,12
"X8.11",8,0.5,1,0.2,12
"X9.11",9,0.4,0.4,0.2,12
"X10.11",10,0.62,0.7,0.2,12
"X11.11",11,0.5,0.4,0.2,12
"X12.11",12,0.6,0.6,0.2,12
"X1.12",1,0.6,1,0.8,13
"X2.12",2,0.7,1,0.8,13
"X3.12",3,0.7,1,0.8,13
"X4.12",4,0.2,0.3,0.8,13
"X5.12",5,0.5,0.5,0.8,13
"X6.12",6,0.3,0.65,0.8,13
"X7.12",7,0.4,0.5,0.8,13
"X8.12",8,0.25,0.25,0.8,13
"X9.12",9,0.5,0.5,0.8,13
"X10.12",10,0.6,0.7,0.8,13
"X11.12",11,0.25,1,0.8,13
"X12.12",12,0.34,0.34,0.8,13
"X1.13",1,0.95,1,0.5,14
"X2.13",2,0.9,1,0.5,14
"X3.13",3,0.5,1,0.5,14
"X4.13",4,0.25,0.5,0.5,14
"X5.13",5,0.5,0.5,0.5,14
"X6.13",6,0.9,1,0.5,14
"X7.13",7,0.75,1,0.5,14
"X8.13",8,0.3,0.5,0.5,14
"X9.13",9,0.5,0.5,0.5,14
"X10.13",10,0.25,0.25,0.5,14
"X11.13",11,0.5,0.5,0.5,14
"X12.13",12,0.25,0.25,0.5,14
"X1.14",1,0.9,0.5,0.25,15
"X2.14",2,0.65,0.65,0.25,15
"X3.14",3,0.03,0.7,0.25,15
"X4.14",4,0.9,0.9,0.25,15
"X5.14",5,0.75,0.8,0.25,15
"X6.14",6,0.6,0.6,0.25,15
"X7.14",7,0.6,0.6,0.25,15
"X8.14",8,0.85,0.8,0.25,15
"X9.14",9,0.9,0.85,0.25,15
"X10.14",10,0.55,0.5,0.25,15
"X11.14",11,0.9,0.9,0.25,15
"X12.14",12,0.95,0.9,0.25,15
"X1.15",1,0.9,1,0.7,16
"X2.15",2,0,1,0.7,16
"X3.15",3,0.6,0.8,0.7,16
"X4.15",4,0.7,1,0.7,16
"X5.15",5,0.5,0.6,0.7,16
"X6.15",6,0.7,1,0.7,16
"X7.15",7,0.5,0.8,0.7,16
"X8.15",8,0.7,1,0.7,16
"X9.15",9,0.6,1,0.7,16
"X10.15",10,0.3,0.6,0.7,16
"X11.15",11,0.3,0.6,0.7,16
"X12.15",12,0.6,0.7,0.7,16
"X1.16",1,0.5,1,0.9,17
"X2.16",2,0.6,1,0.9,17
"X3.16",3,0.25,1,0.9,17
"X4.16",4,0.8,1,0.9,17
"X5.16",5,0.5,0.95,0.9,17
"X6.16",6,0.7,0.85,0.9,17
"X7.16",7,0.33,0.8,0.9,17
"X8.16",8,0.25,0.8,0.9,17
"X9.16",9,0.55,0.5,0.9,17
"X10.16",10,0.7,0.7,0.9,17
"X11.16",11,0.55,0.55,0.9,17
"X12.16",12,0.55,0.6,0.9,17
"X1.17",1,0.75,0.8,0.8,18
"X2.17",2,0.8,1,0.8,18
"X3.17",3,0.6,0.7,0.8,18
"X4.17",4,0.65,1,0.8,18
"X5.17",5,0.8,0.7,0.8,18
"X6.17",6,0.7,1,0.8,18
"X7.17",7,0.5,0.6,0.8,18
"X8.17",8,0.25,0.3,0.8,18
"X9.17",9,0.8,0.6,0.8,18
"X10.17",10,0.5,0.8,0.8,18
"X11.17",11,0.7,0.6,0.8,18
"X12.17",12,0.5,0.4,0.8,18
"X1.18",1,0.99,1,0.9,19
"X2.18",2,0.95,1,0.9,19
"X3.18",3,0.6,0.9,0.9,19
"X4.18",4,0.7,0.9,0.9,19
"X5.18",5,0.55,1,0.9,19
"X6.18",6,0.75,0.9,0.9,19
"X7.18",7,0.65,0.7,0.9,19
"X8.18",8,0.5,0.9,0.9,19
"X9.18",9,0.5,0.6,0.9,19
"X10.18",10,0.45,0.5,0.9,19
"X11.18",11,0.4,0.5,0.9,19
"X12.18",12,0.35,0.4,0.9,19
"X1.19",1,0.75,1,0.65,20
"X2.19",2,0,0,0.65,20
"X3.19",3,0.75,0.75,0.65,20
"X4.19",4,0.75,0.75,0.65,20
"X5.19",5,0.75,0.75,0.65,20
"X6.19",6,0.5,0.5,0.65,20
"X7.19",7,0.5,0.5,0.65,20
"X8.19",8,0.25,0.25,0.65,20
"X9.19",9,0.5,0.5,0.65,20
"X10.19",10,0.5,0.5,0.65,20
