"","Q","Other","Self","Percentile","Subject"
"X1",1,0.5,0.67,0.6,1
"X2",2,0.55,0.75,0.6,1
"X3",3,0.5,0.5,0.6,1
"X4",4,0.6,0.3,0.6,1
"X5",5,0.6,0.9,0.6,1
"X6",6,0.5,0.4,0.6,1
"X7",7,0.6,0.9,0.6,1
"X8",8,0.5,0.5,0.6,1
"X9",9,0.9,0.95,0.6,1
"X10",10,0.6,0.8,0.6,1
"X11",11,0.8,0.75,0.6,1
"X12",12,0.4,0.7,0.6,1
"X13",13,0.5,0.6,0.6,1
"X14",14,0.7,0.6,0.6,1
"X15",15,0.9,0.8,0.6,1
"X16",16,0.5,0.4,0.6,1
"X17",17,0.6,0.95,0.6,1
"X18",18,0.5,0.6,0.6,1
"X1.1",1,0.6,0.6,0.6,2
"X2.1",2,0.6,0.6,0.6,2
"X3.1",3,0.5,0.5,0.6,2
"X4.1",4,0.6,0.6,0.6,2
"X5.1",5,0.6,0.7,0.6,2
"X6.1",6,0.5,0.5,0.6,2
"X7.1",7,0.6,0.6,0.6,2
"X8.1",8,0.5,0.5,0.6,2
"X9.1",9,0.6,0.7,0.6,2
"X10.1",10,0.6,0.8,0.6,2
"X11.1",11,0.6,0.6,0.6,2
"X12.1",12,0.8,0.9,0.6,2
"X13.1",13,0.6,0.7,0.6,2
"X14.1",14,0.5,0.5,0.6,2
"X15.1",15,0.7,0.9,0.6,2
"X16.1",16,0.6,0.6,0.6,2
"X17.1",17,0.5,0.5,0.6,2
"X18.1",18,0.8,0.8,0.6,2
"X1.2",1,0.7,0.75,0.5,3
"X2.2",2,0.5,0.5,0.5,3
"X3.2",3,0.7,0.6,0.5,3
"X4.2",4,0.1,0.1,0.5,3
"X5.2",5,0.5,0.5,0.5,3
"X6.2",6,0.9,0.8,0.5,3
"X7.2",7,1,1,0.5,3
"X8.2",8,0.8,0.6,0.5,3
"X9.2",9,1,1,0.5,3
"X10.2",10,1,1,0.5,3
"X11.2",11,0.9,1,0.5,3
"X12.2",12,1,1,0.5,3
"X13.2",13,0.7,0.8,0.5,3
"X14.2",14,1,1,0.5,3
"X15.2",15,0.95,1,0.5,3
"X16.2",16,0.5,0.6,0.5,3
"X17.2",17,0.9,0.75,0.5,3
"X18.2",18,0.7,0.5,0.5,3
"X1.3",1,0.7,0.5,0.65,4
"X2.3",2,0.5,0.5,0.65,4
"X3.3",3,0.6,0.8,0.65,4
"X4.3",4,0.7,0.8,0.65,4
"X5.3",5,0.5,0.6,0.65,4
"X6.3",6,0.9,0.7,0.65,4
"X7.3",7,0.65,0.7,0.65,4
"X8.3",8,0.5,0.5,0.65,4
"X9.3",9,1,0.9,0.65,4
"X10.3",10,0.5,0.5,0.65,4
"X11.3",11,0.9,1,0.65,4
"X12.3",12,0.8,1,0.65,4
"X13.3",13,1,0,0.65,4
"X14.3",14,0.9,0.7,0.65,4
"X15.3",15,0.75,1,0.65,4
"X16.3",16,0.8,0.6,0.65,4
"X17.3",17,0.25,0.9,0.65,4
"X18.3",18,1,1,0.65,4
"X1.4",1,0.5,0.5,0.5,5
"X2.4",2,0.7,0.8,0.5,5
"X3.4",3,0.3,0.3,0.5,5
"X4.4",4,0.6,0.6,0.5,5
"X5.4",5,0.5,0.5,0.5,5
"X6.4",6,0.8,0.75,0.5,5
"X7.4",7,0.8,0.8,0.5,5
"X8.4",8,0.2,0.8,0.5,5
"X9.4",9,0.2,0.8,0.5,5
"X10.4",10,0.8,0.8,0.5,5
"X11.4",11,0.2,0.2,0.5,5
"X12.4",12,0.8,0.8,0.5,5
"X13.4",13,0.8,0.2,0.5,5
"X14.4",14,0.8,0.8,0.5,5
"X15.4",15,0.8,0.8,0.5,5
"X16.4",16,0.8,0.8,0.5,5
"X17.4",17,0.8,0.8,0.5,5
"X18.4",18,0.75,0.8,0.5,5
"X1.5",1,0.5,0.65,0.65,6
"X2.5",2,0.6,0.5,0.65,6
"X3.5",3,0.8,0.85,0.65,6
"X4.5",4,0.9,0.95,0.65,6
"X5.5",5,0.5,0.5,0.65,6
"X6.5",6,0.85,0.9,0.65,6
"X7.5",7,0.5,0.7,0.65,6
"X8.5",8,0.5,0.5,0.65,6
"X9.5",9,0.95,0.99,0.65,6
"X10.5",10,0.95,1,0.65,6
"X11.5",11,0.9,0.95,0.65,6
"X12.5",12,0.99,1,0.65,6
"X13.5",13,0.5,0.5,0.65,6
"X14.5",14,0.95,1,0.65,6
"X15.5",15,0.99,1,0.65,6
"X16.5",16,0.5,0.6,0.65,6
"X17.5",17,0.7,0.8,0.65,6
"X18.5",18,0.5,0.4,0.65,6
"X1.6",1,0.6,0.8,0.7,7
"X2.6",2,0.55,0.5,0.7,7
"X3.6",3,0.5,0.5,0.7,7
"X4.6",4,0.7,0.7,0.7,7
"X5.6",5,0.8,0.8,0.7,7
"X6.6",6,0.8,0.9,0.7,7
"X7.6",7,0.9,1,0.7,7
"X8.6",8,0.5,0.6,0.7,7
"X9.6",9,1,1,0.7,7
"X10.6",10,0.8,0.8,0.7,7
"X11.6",11,0.85,0.9,0.7,7
"X12.6",12,1,1,0.7,7
"X13.6",13,0.9,1,0.7,7
"X14.6",14,0.4,0.4,0.7,7
"X15.6",15,0.9,0.8,0.7,7
"X16.6",16,0.95,1,0.7,7
"X17.6",17,0.9,0.9,0.7,7
"X18.6",18,0.9,0.8,0.7,7
"X1.7",1,0.75,0.9,0.75,8
"X2.7",2,0.5,0.5,0.75,8
"X3.7",3,0.9,0.95,0.75,8
"X4.7",4,0.5,0.5,0.75,8
"X5.7",5,0.3,0.8,0.75,8
