"","X","Q","Other","Self","Percentile","Subject"
"606","X14.37",14,0.6,1,0.67,38
"607","X15.37",15,1,1,0.67,38
"608","X16.37",16,0.3,0.4,0.67,38
"609","X1.38",1,0.6,0.5,0.75,39
"610","X2.38",2,0.6,0.7,0.75,39
"611","X3.38",3,0.4,0.4,0.75,39
"612","X4.38",4,0.5,0.8,0.75,39
"613","X5.38",5,0.5,0.9,0.75,39
"614","X6.38",6,0.5,0.8,0.75,39
"615","X7.38",7,0.8,0.8,0.75,39
"616","X8.38",8,0.3,0.9,0.75,39
"617","X9.38",9,0.6,0.8,0.75,39
"618","X10.38",10,0.6,0.8,0.75,39
"619","X11.38",11,0.7,0.8,0.75,39
"620","X12.38",12,0.3,0.5,0.75,39
"621","X13.38",13,0.7,0.9,0.75,39
"622","X14.38",14,0.6,0.8,0.75,39
"623","X15.38",15,0.7,0.9,0.75,39
"624","X16.38",16,0.7,0.9,0.75,39
"625","X1.39",1,0.7,0.9,0.5,40
"626","X2.39",2,0.7,0.85,0.5,40
"627","X3.39",3,0.7,0.85,0.5,40
"628","X4.39",4,0.6,0.4,0.5,40
"629","X5.39",5,0.4,0.4,0.5,40
"630","X6.39",6,0.4,0.4,0.5,40
"631","X7.39",7,0.4,0.4,0.5,40
"632","X8.39",8,0.4,1,0.5,40
"633","X9.39",9,0.25,0.25,0.5,40
"634","X10.39",10,0.25,0.25,0.5,40
"635","X11.39",11,0.3,0.5,0.5,40
"636","X12.39",12,0.3,0.3,0.5,40
"637","X13.39",13,0.3,0.35,0.5,40
"638","X14.39",14,0.7,1,0.5,40
"639","X15.39",15,0.85,1,0.5,40
"640","X16.39",16,0.25,0.25,0.5,40
"641","X1.40",1,0.15,0.15,0.75,41
"642","X2.40",2,0.75,0.75,0.75,41
"643","X3.40",3,0.15,0.9,0.75,41
"644","X4.40",4,0.25,0.25,0.75,41
"645","X5.40",5,0,0.6,0.75,41
"646","X6.40",6,0.25,0.25,0.75,41
"647","X7.40",7,0.25,0.25,0.75,41
"648","X8.40",8,0.5,0.9,0.75,41
"649","X9.40",9,0.6,0.9,0.75,41
"650","X10.40",10,0.25,0.25,0.75,41
"651","X11.40",11,0.5,0.5,0.75,41
"652","X12.40",12,0.25,0.25,0.75,41
"653","X13.40",13,0.5,0.5,0.75,41
"654","X14.40",14,0.7,1,0.75,41
"655","X15.40",15,0.4,1,0.75,41
"656","X16.40",16,0.3,0.5,0.75,41
"657","X1.41",1,0.5,0.9,0.75,42
"658","X2.41",2,0.5,0.7,0.75,42
"659","X3.41",3,0.4,0.5,0.75,42
"660","X4.41",4,0.4,0.7,0.75,42
"661","X5.41",5,0.3,0.5,0.75,42
"662","X6.41",6,0.4,0.6,0.75,42
"663","X7.41",7,0.4,0.88,0.75,42
"664","X8.41",8,0.4,0.4,0.75,42
"665","X9.41",9,0.75,0.9,0.75,42
"666","X10.41",10,0.25,0.4,0.75,42
"667","X11.41",11,0.25,0.35,0.75,42
"668","X12.41",12,0.4,0.35,0.75,42
"669","X13.41",13,0.5,0.65,0.75,42
"670","X14.41",14,0.75,1,0.75,42
"671","X15.41",15,0.9,0.95,0.75,42
"672","X16.41",16,0.9,1,0.75,42
"673","X1.42",1,0.8,1,0.75,43
"674","X2.42",2,0.6,1,0.75,43
"675","X3.42",3,0.6,1,0.75,43
"676","X4.42",4,0.5,0.5,0.75,43
"677","X5.42",5,1,1,0.75,43
"678","X6.42",6,1,1,0.75,43
"679","X7.42",7,1,1,0.75,43
"680","X8.42",8,0.5,0.5,0.75,43
"681","X9.42",9,0.6,0.7,0.75,43
"682","X10.42",10,0.7,0.3,0.75,43
"683","X11.42",11,0.8,0.9,0.75,43
"684","X12.42",12,0.7,0.7,0.75,43
"685","X13.42",13,1,1,0.75,43
"686","X14.42",14,1,1,0.75,43
"687","X15.42",15,1,1,0.75,43
"688","X16.42",16,0.25,0.25,0.75,43
"689","X1.43",1,0.65,1,0.67,44
"690","X2.43",2,0.6,1,0.67,44
"691","X3.43",3,0.4,1,0.67,44
"692","X4.43",4,0.35,0.7,0.67,44
"693","X5.43",5,0.3,0.45,0.67,44
"694","X6.43",6,0.25,0.45,0.67,44
"695","X7.43",7,0.35,0.55,0.67,44
"696","X8.43",8,0.3,1,0.67,44
"697","X9.43",9,0.65,0.8,0.67,44
"698","X10.43",10,0.5,1,0.67,44
"699","X11.43",11,0.35,0.35,0.67,44
"700","X12.43",12,0.7,0.55,0.67,44
"701","X13.43",13,0.5,0.4,0.67,44
"702","X14.43",14,0.85,1,0.67,44
"703","X15.43",15,0.8,0.6,0.67,44
"704","X16.43",16,0.7,0.65,0.67,44
"705","X1.44",1,0.89,1,0.85,45
"706","X2.44",2,0.45,0.75,0.85,45
"707","X3.44",3,0.7,0.9,0.85,45
"708","X4.44",4,0.76,0.99,0.85,45
"709","X5.44",5,0.5,0.8,0.85,45
"710","X6.44",6,0.3,0.75,0.85,45
"711","X7.44",7,0.45,0.4,0.85,45
"712","X8.44",8,0.45,0.8,0.85,45
"713","X9.44",9,0.4,0.65,0.85,45
"714","X10.44",10,0.4,0.8,0.85,45
"715","X11.44",11,0.33,0.4,0.85,45
"716","X12.44",12,0.35,0.5,0.85,45
"717","X13.44",13,0.53,0.8,0.85,45
"718","X14.44",14,0.85,1,0.85,45
"719","X15.44",15,0.85,0.98,0.85,45
"720","X16.44",16,0.7,0.85,0.85,45
"721","X1.45",1,1,0.95,0.9,46
"722","X2.45",2,0.99,1,0.9,46
"723","X3.45",3,0.75,1,0.9,46
"724","X4.45",4,0.3,0.9,0.9,46
"725","X5.45",5,0.75,1,0.9,46
"726","X6.45",6,0.25,0.5,0.9,46
"727","X7.45",7,0.5,0.75,0.9,46
"728","X8.45",8,0.95,1,0.9,46
"729","X9.45",9,0.6,0.75,0.9,46
"730","X10.45",10,0.45,0.5,0.9,46
"731","X11.45",11,0.25,0.5,0.9,46
"732","X12.45",12,1,1,0.9,46
"733","X13.45",13,0.8,1,0.9,46
"734","X14.45",14,0.95,1,0.9,46
"735","X15.45",15,0.85,1,0.9,46
"736","X16.45",16,1,1,0.9,46
"737","X1.46",1,0.4,1,0.85,47
"738","X2.46",2,0.7,1,0.85,47
"739","X3.46",3,1,1,0.85,47
"740","X4.46",4,0.5,0.5,0.85,47
"741","X5.46",5,0.7,1,0.85,47
"742","X6.46",6,0.25,1,0.85,47
"743","X7.46",7,0.4,1,0.85,47
"744","X8.46",8,0.7,1,0.85,47
"745","X9.46",9,0.5,0.5,0.85,47
"746","X10.46",10,0.25,0.25,0.85,47
"747","X11.46",11,0.25,0.25,0.85,47
"748","X12.46",12,0.5,0.55,0.85,47
"749","X13.46",13,0.25,0.25,0.85,47
"750","X14.46",14,1,1,0.85,47
"751","X15.46",15,1,1,0.85,47
"752","X16.46",16,0.7,0.7,0.85,47
"753","X1.47",1,0.9,1,0.6,48
"754","X2.47",2,0.7,1,0.6,48
"755","X3.47",3,0.4,0.6,0.6,48
"756","X4.47",4,0.25,0.35,0.6,48
"757","X5.47",5,0.3,0.9,0.6,48
"758","X6.47",6,0.25,0.2,0.6,48
"759","X7.47",7,0.25,0.25,0.6,48
"760","X8.47",8,0.5,0.5,0.6,48
"761","X9.47",9,0.35,0.35,0.6,48
"762","X10.47",10,0.4,0.5,0.6,48
"763","X11.47",11,0.2,0.4,0.6,48
"764","X12.47",12,0.3,0.6,0.6,48
"765","X13.47",13,0.25,0.25,0.6,48
"766","X14.47",14,0.9,1,0.6,48
"767","X15.47",15,0.9,1,0.6,48
"768","X16.47",16,0.7,0.9,0.6,48
"769","X1.48",1,0.35,0.4,0.1,49
"770","X2.48",2,0.3,0.4,0.1,49
"771","X3.48",3,0.25,0.35,0.1,49
"772","X4.48",4,0.25,0.2,0.1,49
"773","X5.48",5,0.85,0.8,0.1,49
"774","X6.48",6,0.35,0.25,0.1,49
"775","X7.48",7,0.3,0.35,0.1,49
"776","X8.48",8,0.35,0.25,0.1,49
"777","X9.48",9,0.45,0.35,0.1,49
"778","X10.48",10,0.35,0.35,0.1,49
"779","X11.48",11,0.35,0.3,0.1,49
"780","X12.48",12,0.3,0.3,0.1,49
"781","X13.48",13,0.25,0.4,0.1,49
"782","X14.48",14,0.7,0.85,0.1,49
"783","X15.48",15,0.3,0.35,0.1,49
"784","X16.48",16,0.35,0.4,0.1,49
"785","X1.49",1,0.65,1,0.65,50
"786","X2.49",2,0.98,1,0.65,50
"787","X3.49",3,0.9,1,0.65,50
"788","X4.49",4,0.45,0.5,0.65,50
"789","X5.49",5,0.55,0.9,0.65,50
"790","X6.49",6,0.25,0.25,0.65,50
"791","X7.49",7,0.3,0.3,0.65,50
"792","X8.49",8,0.6,0.9,0.65,50
"793","X9.49",9,0.32,0.4,0.65,50
"794","X10.49",10,0.4,0.75,0.65,50
"795","X11.49",11,0.5,0.5,0.65,50
"796","X12.49",12,0.25,0.7,0.65,50
"797","X13.49",13,0.6,0.85,0.65,50
"798","X14.49",14,0.85,1,0.65,50
"799","X15.49",15,0.7,0.9,0.65,50
"800","X16.49",16,0.25,0.4,0.65,50
"801","X1.50",1,0.33,0.33,0.8,51
"802","X2.50",2,0.25,0.25,0.8,51
"803","X3.50",3,0.4,0.45,0.8,51
"804","X4.50",4,0.85,0.8,0.8,51
"805","X5.50",5,0.95,1,0.8,51
"806","X6.50",6,0.25,0.25,0.8,51
"807","X7.50",7,0.2,1,0.8,51
"808","X8.50",8,0.3,0.3,0.8,51
"809","X9.50",9,0.35,0.45,0.8,51
"810","X10.50",10,0.45,0.5,0.8,51
"811","X11.50",11,0.45,0.75,0.8,51
"812","X12.50",12,0.3,0.25,0.8,51
"813","X13.50",13,0.5,0.7,0.8,51
"814","X14.50",14,0.97,1,0.8,51
"815","X15.50",15,0.25,0.35,0.8,51
"816","X16.50",16,0.9,0.95,0.8,51
"817","X1.51",1,0.6,0.5,0.75,52
"818","X2.51",2,0.6,0.6,0.75,52
"819","X3.51",3,0.4,0.5,0.75,52
"820","X4.51",4,0.9,0.8,0.75,52
"821","X5.51",5,1,1,0.75,52
"822","X6.51",6,0.5,0.7,0.75,52
"823","X7.51",7,1,1,0.75,52
"824","X8.51",8,0.5,0.5,0.75,52
"825","X9.51",9,1,1,0.75,52
"826","X10.51",10,0.5,0.6,0.75,52
"827","X11.51",11,0.9,0.8,0.75,52
"828","X12.51",12,1,1,0.75,52
"829","X13.51",13,0.5,0.5,0.75,52
"830","X14.51",14,1,1,0.75,52
"831","X15.51",15,0.6,0.6,0.75,52
"832","X16.51",16,1,1,0.75,52
"833","X1.52",1,0.35,0.5,0.46,53
"834","X2.52",2,0.2,0.3,0.46,53
"835","X3.52",3,0.25,0.4,0.46,53
"836","X4.52",4,0.26,1,0.46,53
"837","X5.52",5,0.5,0.5,0.46,53
"838","X6.52",6,0.25,0.42,0.46,53
"839","X7.52",7,1,1,0.46,53
"840","X8.52",8,0.25,0.35,0.46,53
"841","X9.52",9,0.5,0.6,0.46,53
"842","X10.52",10,0.65,0.7,0.46,53
"843","X11.52",11,0.25,0.25,0.46,53
"844","X12.52",12,0.25,0.25,0.46,53
"845","X13.52",13,0.7,1,0.46,53
"846","X14.52",14,0.85,1,0.46,53
"847","X15.52",15,0.8,1,0.46,53
"848","X16.52",16,0.7,0.4,0.46,53
"849","X1.53",1,0.5,0.5,0.8,54
"850","X2.53",2,0.9,0.8,0.8,54
"851","X3.53",3,0.2,0.3,0.8,54
"852","X4.53",4,0.4,0.35,0.8,54
"853","X5.53",5,0.9,0.8,0.8,54
"854","X6.53",6,0.4,0.4,0.8,54
"855","X7.53",7,0.85,0.75,0.8,54
"856","X8.53",8,0.7,0.5,0.8,54
"857","X9.53",9,0.7,0.6,0.8,54
"858","X10.53",10,0.7,0.5,0.8,54
"859","X11.53",11,0.5,0.35,0.8,54
"860","X12.53",12,0.4,0.4,0.8,54
"861","X13.53",13,0.85,0.7,0.8,54
"862","X14.53",14,0.02,1,0.8,54
"863","X15.53",15,0.8,0.8,0.8,54
"864","X16.53",16,0.4,0.4,0.8,54
"865","X1.54",1,0.5,1,0.65,55
"866","X2.54",2,0.5,1,0.65,55
"867","X3.54",3,0.3,0.75,0.65,55
"868","X4.54",4,0.4,1,0.65,55
"869","X5.54",5,0.7,1,0.65,55
"870","X6.54",6,0.25,0.25,0.65,55
"871","X7.54",7,0.25,0.5,0.65,55
"872","X8.54",8,0.5,1,0.65,55
"873","X9.54",9,0.5,0.7,0.65,55
"874","X10.54",10,0.35,0.8,0.65,55
"875","X11.54",11,0.6,0.5,0.65,55
"876","X12.54",12,0.8,1,0.65,55
"877","X13.54",13,1,1,0.65,55
"878","X14.54",14,0.9,1,0.65,55
"879","X15.54",15,0.8,1,0.65,55
"880","X16.54",16,0.25,0.5,0.65,55
"881","X1.55",1,0.47,0.55,0.9,56
"882","X2.55",2,0.8,0.95,0.9,56
"883","X3.55",3,0.79,0.92,0.9,56
"884","X4.55",4,0.54,0.78,0.9,56
"885","X5.55",5,0.72,0.8,0.9,56
"886","X6.55",6,0.2,0.55,0.9,56
"887","X7.55",7,0.2,0.25,0.9,56
"888","X8.55",8,0.3,0.65,0.9,56
"889","X9.55",9,0.7,0.6,0.9,56
"890","X10.55",10,0.55,0.75,0.9,56
"891","X11.55",11,0.3,1,0.9,56
"892","X12.55",12,0.5,0.6,0.9,56
"893","X13.55",13,0.64,0.8,0.9,56
"894","X14.55",14,0.85,1,0.9,56
"895","X15.55",15,0.7,0.85,0.9,56
"896","X16.55",16,0.4,0.75,0.9,56
"897","X1.56",1,0.35,0.35,0.4,57
"898","X2.56",2,0.5,0.8,0.4,57
"899","X3.56",3,0.3,0.3,0.4,57
"900","X4.56",4,0.5,0.85,0.4,57
"901","X5.56",5,0.85,0.9,0.4,57
"902","X6.56",6,0.7,0.2,0.4,57
"903","X7.56",7,0.4,0.4,0.4,57
"904","X8.56",8,0.4,0.4,0.4,57
"905","X9.56",9,0.4,0.3,0.4,57
"906","X10.56",10,0.55,0.45,0.4,57
"907","X11.56",11,0.55,0.55,0.4,57
"908","X12.56",12,0.55,0.25,0.4,57
"909","X13.56",13,0.25,0.35,0.4,57
"910","X14.56",14,0.25,0.25,0.4,57
"911","X15.56",15,0.35,0.35,0.4,57
"912","X16.56",16,0.35,0.35,0.4,57
"913","X1.57",1,0.33,0.45,0.35,58
"914","X2.57",2,0.5,0.6,0.35,58
"915","X3.57",3,0.25,0.25,0.35,58
"916","X4.57",4,0.4,0.4,0.35,58
"917","X5.57",5,0.25,0.6,0.35,58
"918","X6.57",6,0.25,0.25,0.35,58
"919","X7.57",7,0.4,0.4,0.35,58
"920","X8.57",8,0.25,0.5,0.35,58
"921","X9.57",9,0.25,0.4,0.35,58
"922","X10.57",10,0.25,0.25,0.35,58
"923","X11.57",11,0.5,0.6,0.35,58
"924","X12.57",12,0.25,0.4,0.35,58
"925","X13.57",13,0.5,0.7,0.35,58
"926","X14.57",14,0.8,1,0.35,58
"927","X15.57",15,0.5,0.6,0.35,58
"928","X16.57",16,0.25,0.25,0.35,58
"929","X1.58",1,0.25,0.25,0.25,59
"930","X2.58",2,0.8,1,0.25,59
"931","X3.58",3,0.5,0.25,0.25,59
"932","X4.58",4,0.8,0.25,0.25,59
"933","X5.58",5,0.75,0.25,0.25,59
"934","X6.58",6,0.4,0.25,0.25,59
"935","X7.58",7,0.7,0.25,0.25,59
"936","X8.58",8,1,1,0.25,59
"937","X9.58",9,0.9,1,0.25,59
"938","X10.58",10,0.7,0.25,0.25,59
"939","X11.58",11,1,1,0.25,59
"940","X12.58",12,0.25,0.25,0.25,59
"941","X13.58",13,0.25,0.25,0.25,59
"942","X14.58",14,0.5,0.25,0.25,59
"943","X15.58",15,1,0.25,0.25,59
"944","X16.58",16,0.7,0.25,0.25,59
"945","X1.59",1,0.25,0.5,0.7,60
"946","X2.59",2,0.25,0.5,0.7,60
"947","X3.59",3,0.7,0.5,0.7,60
"948","X4.59",4,0.5,0.4,0.7,60
"949","X5.59",5,0.4,0.6,0.7,60
"950","X6.59",6,0.4,0.5,0.7,60
"951","X7.59",7,0.25,0.4,0.7,60
"952","X8.59",8,0.5,0.6,0.7,60
"953","X9.59",9,0.5,1,0.7,60
"954","X10.59",10,0.5,0.95,0.7,60
"955","X11.59",11,0.5,0.5,0.7,60
"956","X12.59",12,0.5,0.6,0.7,60
"957","X13.59",13,0.5,1,0.7,60
"958","X14.59",14,1,1,0.7,60
"959","X15.59",15,0.5,1,0.7,60
"960","X16.59",16,1,1,0.7,60
"961","X1.60",1,0.2,0.4,0.7,61
"962","X2.60",2,0.25,0.5,0.7,61
"963","X3.60",3,0.5,1,0.7,61
"964","X4.60",4,0.5,1,0.7,61
"965","X5.60",5,0.13,0.75,0.7,61
"966","X6.60",6,0.2,0.5,0.7,61
"967","X7.60",7,0.2,1,0.7,61
"968","X8.60",8,0.4,1,0.7,61
"969","X9.60",9,0.7,1,0.7,61
"970","X10.60",10,0.6,1,0.7,61
"971","X11.60",11,0.25,1,0.7,61
"972","X12.60",12,0.5,1,0.7,61
"973","X13.60",13,1,1,0.7,61
"974","X14.60",14,1,1,0.7,61
"975","X15.60",15,0.7,1,0.7,61
"976","X16.60",16,0.5,1,0.7,61
"977","X1.61",1,0.3,0.4,0.8,62
"978","X2.61",2,0.4,1,0.8,62
"979","X3.61",3,0.4,1,0.8,62
"980","X4.61",4,0.6,1,0.8,62
"981","X5.61",5,0.1,1,0.8,62
"982","X6.61",6,0.35,0.5,0.8,62
"983","X7.61",7,0.1,1,0.8,62
"984","X8.61",8,0.6,1,0.8,62
"985","X9.61",9,0.7,0.7,0.8,62
"986","X10.61",10,0.8,1,0.8,62
"987","X11.61",11,0.6,0.8,0.8,62
"988","X12.61",12,0.7,0.9,0.8,62
"989","X13.61",13,1,1,0.8,62
"990","X14.61",14,1,1,0.8,62
"991","X15.61",15,1,1,0.8,62
"992","X16.61",16,0.5,1,0.8,62
"993","X1.62",1,0.3,1,0.5,63
"994","X2.62",2,0.6,1,0.5,63
"995","X3.62",3,1,1,0.5,63
"996","X4.62",4,1,1,0.5,63
"997","X5.62",5,0.8,1,0.5,63
"998","X6.62",6,0.2,1,0.5,63
"999","X7.62",7,0.25,1,0.5,63
"1000","X8.62",8,0,1,0.5,63
"1001","X9.62",9,0,0,0.5,63
"1002","X10.62",10,0.5,1,0.5,63
"1003","X11.62",11,0,1,0.5,63
"1004","X12.62",12,0,1,0.5,63
"1005","X13.62",13,0.25,0.25,0.5,63
"1006","X14.62",14,1,1,0.5,63
"1007","X15.62",15,1,1,0.5,63
"1008","X16.62",16,0,0,0.5,63
"1009","X1.63",1,0.5,0.2,0.05,64
"1010","X2.63",2,0.7,0.6,0.05,64
"1011","X3.63",3,0.6,0.4,0.05,64
"1012","X4.63",4,0.9,0.8,0.05,64
"1013","X5.63",5,0.8,1,0.05,64
"1014","X6.63",6,0.6,0.7,0.05,64
"1015","X7.63",7,0.3,0.3,0.05,64
"1016","X8.63",8,0.1,0.4,0.05,64
"1017","X9.63",9,0.1,0.4,0.05,64
"1018","X10.63",10,0.3,0.3,0.05,64
"1019","X11.63",11,0.3,0.4,0.05,64
"1020","X12.63",12,0.2,0.2,0.05,64
"1021","X13.63",13,0.5,0.7,0.05,64
"1022","X14.63",14,0.2,0.5,0.05,64
"1023","X15.63",15,0.3,0.4,0.05,64
"1024","X16.63",16,0.5,0.5,0.05,64
"1025","X1.64",1,0.2,0.5,0.7,65
"1026","X2.64",2,0.85,0.9,0.7,65
"1027","X3.64",3,0.4,0.5,0.7,65
"1028","X4.64",4,0.6,0.7,0.7,65
"1029","X5.64",5,0.4,0.46,0.7,65
"1030","X6.64",6,0.25,0.3,0.7,65
"1031","X7.64",7,0.4,0.6,0.7,65
"1032","X8.64",8,0.85,0.9,0.7,65
"1033","X9.64",9,0.33,0.33,0.7,65
"1034","X10.64",10,0.5,0.5,0.7,65
"1035","X11.64",11,0.5,0.66,0.7,65
"1036","X12.64",12,0.25,0.25,0.7,65
"1037","X13.64",13,0.35,0.6,0.7,65
"1038","X14.64",14,0.05,0,0.7,65
"1039","X15.64",15,0.95,1,0.7,65
"1040","X16.64",16,0.8,1,0.7,65
"1041","X1.65",1,0.75,1,0.5,66
"1042","X2.65",2,0.5,0.5,0.5,66
"1043","X3.65",3,0.5,1,0.5,66
"1044","X4.65",4,0.8,0.9,0.5,66
"1045","X5.65",5,1,0.5,0.5,66
"1046","X6.65",6,0.25,0.25,0.5,66
"1047","X7.65",7,0.25,0.25,0.5,66
"1048","X8.65",8,0.4,1,0.5,66
"1049","X9.65",9,0.25,0.9,0.5,66
"1050","X10.65",10,0.5,0.7,0.5,66
"1051","X11.65",11,0.4,0.5,0.5,66
"1052","X12.65",12,0.4,0.5,0.5,66
"1053","X13.65",13,0.75,0.5,0.5,66
"1054","X14.65",14,1,1,0.5,66
"1055","X15.65",15,1,1,0.5,66
"1056","X16.65",16,0.7,0.9,0.5,66
"1057","X1.66",1,0.8,0.8,0.5,67
"1058","X2.66",2,1,1,0.5,67
"1059","X3.66",3,0.7,0.7,0.5,67
"1060","X4.66",4,1,1,0.5,67
"1061","X5.66",5,1,1,0.5,67
"1062","X6.66",6,0.8,1,0.5,67
"1063","X7.66",7,0.8,1,0.5,67
"1064","X8.66",8,0.5,0.8,0.5,67
"1065","X9.66",9,0.8,0.8,0.5,67
"1066","X10.66",10,0.2,0.5,0.5,67
"1067","X11.66",11,0.25,0.25,0.5,67
"1068","X12.66",12,0.5,0.5,0.5,67
"1069","X13.66",13,1,1,0.5,67
"1070","X14.66",14,1,1,0.5,67
"1071","X15.66",15,1,1,0.5,67
"1072","X16.66",16,1,1,0.5,67
"1073","X1.67",1,0.5,0.6,0.05,68
"1074","X2.67",2,0.5,0.6,0.05,68
"1075","X3.67",3,0.6,0.6,0.05,68
"1076","X4.67",4,0.5,0.7,0.05,68
"1077","X5.67",5,0.94,1,0.05,68
"1078","X6.67",6,0.4,0.4,0.05,68
"1079","X7.67",7,0.4,0.7,0.05,68
"1080","X8.67",8,0.5,0.6,0.05,68
"1081","X9.67",9,0.5,0.5,0.05,68
"1082","X10.67",10,0.5,0.5,0.05,68
"1083","X11.67",11,0.4,0.5,0.05,68
"1084","X12.67",12,0.5,0.4,0.05,68
"1085","X13.67",13,1,1,0.05,68
"1086","X14.67",14,0.5,0.95,0.05,68
"1087","X15.67",15,1,1,0.05,68
"1088","X16.67",16,0.7,0.9,0.05,68
"1089","X1.68",1,0.5,1,0.9,69
"1090","X2.68",2,0.5,1,0.9,69
"1091","X3.68",3,0.4,1,0.9,69
"1092","X4.68",4,0.4,0.5,0.9,69
"1093","X5.68",5,0.3,0.3,0.9,69
"1094","X6.68",6,0.25,0.4,0.9,69
"1095","X7.68",7,0.55,0.7,0.9,69
"1096","X8.68",8,0.7,1,0.9,69
"1097","X9.68",9,0.7,0.7,0.9,69
"1098","X10.68",10,0.6,0.9,0.9,69
"1099","X11.68",11,0.4,0.5,0.9,69
"1100","X12.68",12,0.5,0.8,0.9,69
"1101","X13.68",13,0.8,1,0.9,69
"1102","X14.68",14,0.75,1,0.9,69
"1103","X15.68",15,0.6,1,0.9,69
"1104","X16.68",16,0.7,1,0.9,69
"1105","X1.69",1,0.45,0.85,0.65,70
"1106","X2.69",2,0.7,1,0.65,70
"1107","X3.69",3,0.3,0.8,0.65,70
"1108","X4.69",4,0.3,0.6,0.65,70
"1109","X5.69",5,0.2,0.6,0.65,70
"1110","X6.69",6,0.25,0.4,0.65,70
"1111","X7.69",7,0.2,0.25,0.65,70
"1112","X8.69",8,0.25,0.4,0.65,70
"1113","X9.69",9,0.3,0.4,0.65,70
"1114","X10.69",10,0.3,0.4,0.65,70
"1115","X11.69",11,0.15,0.35,0.65,70
"1116","X12.69",12,0.45,0.35,0.65,70
"1117","X13.69",13,0.25,0.25,0.65,70
"1118","X14.69",14,0.75,1,0.65,70
"1119","X15.69",15,0.85,0.85,0.65,70
"1120","X16.69",16,0.75,0.8,0.65,70
"1121","X1.70",1,0.5,1,0.75,71
"1122","X2.70",2,0.75,1,0.75,71
"1123","X3.70",3,0.9,0.95,0.75,71
"1124","X4.70",4,0.5,1,0.75,71
"1125","X5.70",5,0.3,0.5,0.75,71
"1126","X6.70",6,0.5,0.75,0.75,71
"1127","X7.70",7,0.25,0.25,0.75,71
"1128","X8.70",8,0.5,1,0.75,71
"1129","X9.70",9,0.25,0.33,0.75,71
"1130","X10.70",10,0.5,0.8,0.75,71
"1131","X11.70",11,0.5,0.5,0.75,71
"1132","X12.70",12,0.75,0.8,0.75,71
"1133","X13.70",13,0.85,1,0.75,71
"1134","X14.70",14,0.95,1,0.75,71
"1135","X15.70",15,0.95,1,0.75,71
"1136","X16.70",16,0.5,0.75,0.75,71
"1137","X1.71",1,0.25,1,0.75,72
"1138","X2.71",2,1,1,0.75,72
"1139","X3.71",3,1,0,0.75,72
"1140","X4.71",4,0.25,1,0.75,72
"1141","X5.71",5,0.25,0.5,0.75,72
"1142","X6.71",6,0,0,0.75,72
"1143","X7.71",7,1,1,0.75,72
"1144","X8.71",8,1,1,0.75,72
"1145","X9.71",9,1,1,0.75,72
"1146","X10.71",10,0.5,0.5,0.75,72
"1147","X11.71",11,1,1,0.75,72
"1148","X12.71",12,1,1,0.75,72
"1149","X13.71",13,1,1,0.75,72
"1150","X14.71",14,1,1,0.75,72
"1151","X15.71",15,1,1,0.75,72
"1152","X16.71",16,0,0,0.75,72
"1153","X1.72",1,0.45,0.35,0.45,73
"1154","X2.72",2,0.6,0.95,0.45,73
"1155","X3.72",3,0.45,0.45,0.45,73
"1156","X4.72",4,0.5,0.5,0.45,73
"1157","X5.72",5,0.55,0.65,0.45,73
"1158","X6.72",6,0.25,0.7,0.45,73
"1159","X7.72",7,0.4,0.65,0.45,73
"1160","X8.72",8,0.7,1,0.45,73
"1161","X9.72",9,0.4,0.33,0.45,73
"1162","X10.72",10,0.4,0.5,0.45,73
"1163","X11.72",11,0.4,0.5,0.45,73
"1164","X12.72",12,0.3,0.44,0.45,73
"1165","X13.72",13,0.8,0.7,0.45,73
"1166","X14.72",14,0.85,1,0.45,73
"1167","X15.72",15,0.88,0.33,0.45,73
"1168","X16.72",16,0.6,0.48,0.45,73
"1169","X1.73",1,0.8,1,0.75,74
"1170","X2.73",2,0.55,0.9,0.75,74
"1171","X3.73",3,0.75,0.95,0.75,74
"1172","X4.73",4,0.8,1,0.75,74
"1173","X5.73",5,0.5,0.9,0.75,74
"1174","X6.73",6,0.6,0.75,0.75,74
"1175","X7.73",7,0.7,0.6,0.75,74
"1176","X8.73",8,0.7,1,0.75,74
"1177","X9.73",9,0.3,0.8,0.75,74
"1178","X10.73",10,0.4,0.6,0.75,74
"1179","X11.73",11,0.2,0.9,0.75,74
"1180","X12.73",12,0.6,0.8,0.75,74
"1181","X13.73",13,0.9,1,0.75,74
"1182","X14.73",14,0.9,1,0.75,74
"1183","X15.73",15,0.9,1,0.75,74
"1184","X16.73",16,0.9,1,0.75,74
"1185","X1.74",1,0.8,1,0.85,75
"1186","X2.74",2,0.8,1,0.85,75
"1187","X3.74",3,0.75,1,0.85,75
"1188","X4.74",4,0.9,1,0.85,75
"1189","X5.74",5,0.3,1,0.85,75
"1190","X6.74",6,0.8,0.8,0.85,75
"1191","X7.74",7,0.6,1,0.85,75
"1192","X8.74",8,0.7,1,0.85,75
"1193","X9.74",9,0.6,1,0.85,75
"1194","X10.74",10,0.5,0.6,0.85,75
"1195","X11.74",11,0.8,0.9,0.85,75
"1196","X12.74",12,0.8,1,0.85,75
"1197","X13.74",13,0.25,0.4,0.85,75
"1198","X14.74",14,0.9,1,0.85,75
"1199","X15.74",15,0.8,0.9,0.85,75
"1200","X16.74",16,0.5,1,0.85,75
